"id","name","background_color","text_border_color"
"013af026-41eb-478a-843a-edbbbebf2fe7","fern","#C8E6C9","#81C784"
"1650a8ee-09ab-4a6e-9180-9d6081b6cb44","lime","#F0F4C3","#D4E157"
"2bb388e7-6535-4a8e-a7fc-0295a105cd8e","sand","#FFF8E1","#FFE082"
"2f4015e1-2412-405f-98bb-b2767eee3d30","red","#FFCDD2","#E57373"
"31f99dc7-00f3-469e-91d6-75590d48b7bb","chartreuse","#F0F4C3","#DCE775"
"3a8744fb-4a16-4574-af0c-c6ab80fcd209","aqua","#B2EBF2","#4FC3F7"
"3ba6dc07-e3a1-4f44-9cd6-5d1d2a5c9a20","apricot","#FFE0B2","#FFB74D"
"43b7cad4-d3d0-4d00-a48b-fd00949f3df3","violet","#E1BEE7","#AB47BC"
"4754752c-bf05-4c19-9368-da7a37d35b3b","green","#B0EACD","#4CAF50"
"4d1c7312-15dd-4cb0-b8aa-e3222cea7a73","pistachio","#DCEDC8","#9CCC65"
"4d3f9b22-378d-4c05-a883-876d53021884","lavender","#E1BEE7","#CE93D8"
"53be01cc-9591-4880-aed2-78210159e115","denim","#90CAF9","#42A5F5"
"5a065eaf-7cda-49c0-a596-2d48bf7d12da","rose","#F8BBD0","#F48FB1"
"71b33e7b-3e23-49a9-9dce-f1cd5c3a5dbe","plum","#D1C4E9","#9575CD"
"81fd2c1d-a46f-41dd-8013-fb1195a16333","coral","#FFABAB","#FF6F61"
"869ef582-1612-48fb-b30f-05b72d5765a7","purple","#D1C4E9","#9575CD"
"9476f028-dc15-4211-aa0c-e384203b8c1a","seafoam","#B2DFDB","#4DD0E1"
"a1544c50-a3a1-4f7d-8977-af227b30165d","cyan","#B2EBF2","#4DD0E1"
"a18bd4a5-af6c-4c51-8545-c272881e106f","teal","#B2DFDB","#4DB6AC"
"a6ee71e0-aca7-498a-bb13-34a8b6c5f344","mustard","#FFF59D","#FFEB3B"
"b999a140-f1cf-431a-87ca-08d94862d45e","pink","#FADADD","#FF8B94"
"c175d3a0-54d2-48be-aa32-75ad504783e8","blue","#A7C7E7","#5B9BD5"
"cc7b7fda-48e6-4e98-bd00-efefa455181d","peach","#FFE0B2","#FFB74D"
"d88e07d4-85b2-41b1-9834-ab7b905c165e","skyblue","#BBDEFB","#64B5F6"
"eadae3eb-15f6-4fe8-8ea9-4d46c1f388f5","magenta","#F48FB1","#EC407A"
"edf93a66-1862-4b79-b56f-cc29bd5ff977","orange","#FFE0B2","#FF9800"
"f5f2e3c8-a8ef-40ff-9e09-b29b5d300839","amber","#FFECB3","#FFC107"
"f82e1f70-479c-4323-ab36-aae972ef6bc7","mint","#E0F7FA","#80DEEA"
"fc34583e-a336-4e67-bf7c-f65e096af84d","indigo","#C5CAE9","#7986CB"
"ff8b125b-3234-4171-9e6e-5b3e9cf7699e","yellow","#FFF9C4","#FFEB3B"
